DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,GRUPO ETARIO,TIPO DE HURTO,CANTIDAD
CAUCA,POPAYÁN (CT),19001000,ARMA BLANCA / CORTOPUNZANTE,5/01/2010,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,INZÁ,19355000,ARMA DE FUEGO,6/01/2010,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,PUERTO TEJADA,19573000,LLAVE MAESTRA,7/01/2010,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,LLAVE MAESTRA,9/01/2010,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,PIENDAMÓ,19548000,ARMA DE FUEGO,10/01/2010,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,TIMBÍO,19807000,LLAVE MAESTRA,10/01/2010,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,TIMBÍO,19807000,ARMA DE FUEGO,14/01/2010,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,LLAVE MAESTRA,24/01/2010,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,SANTANDER DE QUILICHAO,19698000,ARMA DE FUEGO,28/01/2010,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,PATÍA,19532000,LLAVE MAESTRA,30/01/2010,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,PATÍA,19532000,ARMA DE FUEGO,1/02/2010,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,ARMA DE FUEGO,3/02/2010,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,LLAVE MAESTRA,5/02/2010,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,LLAVE MAESTRA,6/02/2010,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,LLAVE MAESTRA,14/02/2010,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,TIMBÍO,19807000,ARMA DE FUEGO,16/02/2010,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,ARMA DE FUEGO,2/03/2010,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,LLAVE MAESTRA,5/03/2010,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
